Index	Time Stamp	red Values
Start: 1447380162432
0	21:01:49.611	85.0
1	21:01:49.734	85.0
2	21:01:49.815	85.0
3	21:01:49.901	85.0
4	21:01:49.971	85.0
5	21:01:50.041	85.0
6	21:01:50.120	85.0
7	21:01:50.193	85.0
8	21:01:50.249	85.0
9	21:01:50.331	85.0
10	21:01:50.389	80.8887606534091
11	21:01:50.457	68.58910392992425
12	21:01:50.522	67.7820588699495
13	21:01:50.578	67.85976957070707
14	21:01:50.634	67.50291982323232
15	21:01:50.694	67.02162247474747
16	21:01:50.748	66.84709398674242
17	21:01:50.805	67.85666232638889
18	21:01:50.867	67.81049755366162
19	21:01:50.922	67.65728574810606
20	21:01:51.001	68.75919349747475
21	21:01:51.066	68.73393110795455
22	21:01:51.129	68.73782749368686
23	21:01:51.194	69.90172230113636
24	21:01:51.260	69.96612610479798
25	21:01:51.333	69.92925347222223
26	21:01:51.407	69.35213462752525
27	21:01:51.465	69.32471196338383
28	21:01:51.538	69.36945628156566
29	21:01:51.597	69.4723603219697
30	21:01:51.677	69.43139401830808
31	21:01:51.745	69.40927833017676
32	21:01:51.803	69.4603851010101
33	21:01:51.858	69.60154277146465
34	21:01:51.939	69.63371014835859
35	21:01:52.007	69.68430397727273
36	21:01:52.085	69.75179529671718
37	21:01:52.151	69.51720328282828
38	21:01:52.237	69.15200836489899
39	21:01:52.297	69.05628551136364
40	21:01:52.371	69.06324968434343
41	21:01:52.434	70.21931226325758
42	21:01:52.511	70.10341698232324
43	21:01:52.575	70.14764835858585
44	21:01:52.634	70.29270241477273
45	21:01:52.701	70.48903093434343
46	21:01:52.778	70.5142242739899
47	21:01:52.840	70.56727430555556
48	21:01:52.900	70.65409958964646
49	21:01:52.959	70.57470209911617
50	21:01:53.034	70.10467960858585
51	21:01:53.109	69.94814354482324
52	21:01:53.167	69.9641631155303
53	21:01:53.228	70.09393742108585
54	21:01:53.287	70.11164378156566
55	21:01:53.369	70.07754300820707
56	21:01:53.447	70.1540404040404
57	21:01:53.526	70.27524266098484
58	21:01:53.591	70.43851601957071
59	21:01:53.651	70.5520142834596
60	21:01:53.709	70.68070351957071
61	21:01:53.765	70.81035945391415
62	21:01:53.821	70.66449652777777
63	21:01:53.877	70.16781092171718
64	21:01:53.932	70.11571772411617
65	21:01:53.993	70.19861702967172
66	21:01:54.048	70.29441879734848
67	21:01:54.135	70.19270833333333
68	21:01:54.196	70.25773358585859
69	21:01:54.255	70.36739464962122
70	21:01:54.333	70.44719657512626
71	21:01:54.408	70.48633798926768
72	21:01:54.471	70.60000394570707
73	21:01:54.543	70.67113517992425
74	21:01:54.603	70.8488892834596
75	21:01:54.665	70.67863202335859
76	21:01:54.740	70.14267676767676
77	21:01:54.804	70.00652028093434
78	21:01:54.874	70.0114622790404
79	21:01:54.989	70.18596117424242
80	21:01:55.064	71.20712989267676
81	21:01:55.135	71.24385456123737
82	21:01:55.229	71.36618134469697
83	21:01:55.290	71.49403211805556
84	21:01:55.356	71.59246764520202
85	21:01:55.434	71.70931976010101
86	21:01:55.524	71.72335661300505
87	21:01:55.607	71.79528685290404
88	21:01:55.669	71.74897411616162
89	21:01:55.757	71.15359651199495
90	21:01:55.818	70.97471788194444
91	21:01:55.877	71.0128630050505
92	21:01:55.934	71.12169547032828
93	21:01:56.012	71.12755484532828
94	21:01:56.068	71.15362610479798
95	21:01:56.127	71.4358033459596
96	21:01:56.183	71.5007200915404
97	21:01:56.336	71.65428701073232
98	21:01:56.444	71.4643308080808
99	21:01:56.606	71.01849550189394
100	21:01:56.670	71.12320470328282
101	21:01:56.762	71.24969420770202
102	21:01:56.840	71.21774384469697
103	21:01:56.912	71.34635416666667
104	21:01:56.975	71.44893268623737
105	21:01:57.037	71.53912168560606
106	21:01:57.096	71.60965119949495
107	21:01:57.172	71.7032137784091
108	21:01:57.232	71.78576783459596
109	21:01:57.308	71.93742108585859
110	21:01:57.372	72.04621409406566
111	21:01:57.451	71.36707899305556
112	21:01:57.529	71.13144136679293
113	21:01:57.610	71.16184303977273
114	21:01:57.675	71.23255997474747
115	21:01:57.734	71.23252051767676
116	21:01:57.793	71.19182054924242
117	21:01:57.857	71.29692432133838
118	21:01:57.924	71.3885041824495
119	21:01:57.986	71.46065143623737
120	21:01:58.068	71.54054214015152
121	21:01:58.151	71.6004971590909
122	21:01:58.208	71.70782039141415
123	21:01:58.269	71.89562618371212
124	21:01:58.327	71.74786931818181
125	21:01:58.383	71.05956044823232
126	21:01:58.467	71.01196535669192
127	21:01:58.537	71.10769807449495
128	21:01:58.602	71.22580295138889
129	21:01:58.717	71.17126341540404
130	21:01:58.826	71.24350931186869
131	21:01:58.914	71.32381431502525
132	21:01:58.977	71.56807331123737
133	21:01:59.077	71.44244199810606
134	21:01:59.141	71.44731494633838
135	21:01:59.224	71.56866516729798
136	21:01:59.306	71.68153211805556
137	21:01:59.403	70.74543284406566
138	21:01:59.472	70.98812342171718
139	21:01:59.669	72.27819207702021
140	21:01:59.795	72.46970683396465
141	21:01:59.857	72.56284524936869
142	21:01:59.946	72.66532512626263
143	21:02:00.057	72.62728851010101
144	21:02:00.135	72.01262626262626
145	21:02:00.202	70.69619041982324
146	21:02:00.278	70.72924558080808
147	21:02:00.336	70.86511600378788
148	21:02:00.397	71.88002091224747
149	21:02:00.461	71.80101799242425
150	21:02:00.565	71.9559659090909
151	21:02:00.654	72.19010416666667
152	21:02:00.759	72.2804411300505
153	21:02:00.827	72.34556502525253
154	21:02:00.886	72.40852864583333
155	21:02:00.996	72.40848918876263
