Index	Time Stamp	red Values
Start: 1447627158480
0	17:38:43.407	85.0
1	17:38:43.517	85.0
2	17:38:43.590	85.0
3	17:38:43.660	85.0
4	17:38:43.737	85.0
5	17:38:43.803	85.0
6	17:38:43.880	85.0
7	17:38:43.963	85.0
8	17:38:44.036	85.0
9	17:38:44.091	85.0
10	17:38:44.151	83.86983112373737
11	17:38:44.226	77.9520596590909
12	17:38:44.283	78.11981139520202
13	17:38:44.340	78.23732441603535
14	17:38:44.397	78.21273279671718
15	17:38:44.458	78.1862669665404
16	17:38:44.522	77.8537720959596
17	17:38:44.592	77.88681739267676
18	17:38:44.675	78.04068023989899
19	17:38:44.742	78.08919270833333
20	17:38:44.808	78.1266571969697
21	17:38:44.887	78.17474550189394
22	17:38:44.956	77.88277304292929
23	17:38:45.026	77.99019491792929
24	17:38:45.085	78.13553503787878
25	17:38:45.170	78.18951231060606
26	17:38:45.255	78.20704111426768
27	17:38:45.332	78.1762054135101
28	17:38:45.406	77.91544349747475
29	17:38:45.474	78.00726996527777
30	17:38:45.546	78.10369318181819
31	17:38:45.640	78.15985045770202
32	17:38:45.723	78.1106080334596
33	17:38:45.783	78.00651041666667
34	17:38:45.856	77.81019176136364
35	17:38:45.923	77.8942353219697
36	17:38:45.980	77.92181581439394
37	17:38:46.031	78.01626617739899
38	17:38:46.092	77.98892242739899
39	17:38:46.158	77.79739780618686
40	17:38:46.222	77.60475852272727
41	17:38:46.287	77.70927043876263
42	17:38:46.457	77.45678464330808
43	17:38:46.587	77.42920415088383
44	17:38:46.703	77.49027383207071
45	17:38:46.766	77.54455689709596
46	17:38:46.833	77.31227312184343
47	17:38:46.900	77.14203559027777
48	17:38:46.959	77.2911044034091
49	17:38:47.023	77.3094026199495
50	17:38:47.100	77.3285886205808
51	17:38:47.158	77.32736545138889
52	17:38:47.230	77.07422861426768
53	17:38:47.285	77.0278566919192
54	17:38:47.386	77.10089172979798
55	17:38:47.448	77.12322443181819
56	17:38:47.525	77.09387823547979
57	17:38:47.587	77.07109177714646
58	17:38:47.678	76.74247356376263
59	17:38:47.736	76.73668323863636
60	17:38:47.797	76.85889165088383
61	17:38:47.858	76.91069878472223
62	17:38:47.921	77.7819306344697
63	17:38:48.002	77.72533933080808
64	17:38:48.084	77.38503196022727
65	17:38:48.153	77.41865924873737
66	17:38:48.224	77.56457149621212
67	17:38:48.278	77.56264796401516
68	17:38:48.348	77.53391335227273
69	17:38:48.431	77.49716895517676
70	17:38:48.485	77.16565064709596
71	17:38:48.540	77.22644412878788
72	17:38:48.602	77.26030815972223
73	17:38:48.663	77.27019215593434
74	17:38:48.718	77.24625157828282
75	17:38:48.780	77.20536418876263
76	17:38:48.844	76.96808909406566
77	17:38:48.918	76.96514954229798
78	17:38:48.976	77.04141019570707
79	17:38:49.035	77.08235677083333
80	17:38:49.113	77.09951073232324
81	17:38:49.196	76.99122080176768
82	17:38:49.263	76.74746488320707
83	17:38:49.320	76.84321732954545
84	17:38:49.405	76.86085464015152
85	17:38:49.493	77.80423374368686
86	17:38:49.546	77.73472024936869
87	17:38:49.624	77.56460108901516
88	17:38:49.724	77.29807844065657
89	17:38:49.808	77.31870462436869
90	17:38:49.866	77.31635692866162
91	17:38:49.921	77.34390782828282
92	17:38:49.985	77.33815696022727
93	17:38:50.065	77.13444010416667
94	17:38:50.125	76.95391414141415
95	17:38:50.209	77.0133759469697
96	17:38:50.284	77.98043915719697
97	17:38:50.376	78.13224037247475
98	17:38:50.475	78.2767913510101
99	17:38:50.543	78.30050505050505
100	17:38:50.618	78.05547664141415
101	17:38:50.676	77.89933514835859
102	17:38:50.736	77.85363399621212
103	17:38:50.796	77.89751025883838
104	17:38:50.878	78.0334990530303
105	17:38:50.949	77.81019176136364
106	17:38:51.029	77.62729837436869
107	17:38:51.112	78.54058159722223
108	17:38:51.191	78.1970091540404
109	17:38:51.297	78.09207307449495
110	17:38:51.432	77.95440735479798
111	17:38:51.561	77.17055318813131
112	17:38:51.646	77.77732402146465
113	17:38:51.729	77.55469736426768
114	17:38:51.796	77.31900055239899
115	17:38:51.861	77.95454545454545
116	17:38:51.915	77.61350812815657
117	17:38:51.974	76.99731691919192
118	17:38:52.031	77.61109138257575
119	17:38:52.084	77.41286892361111
120	17:38:52.146	77.14635613952021
121	17:38:52.234	77.85639599116162
122	17:38:52.284	77.86017400568181
123	17:38:52.343	80.19489820075758
124	17:38:52.411	80.13289141414141
125	17:38:52.501	80.20349984217172
126	17:38:52.558	80.51491477272727
127	17:38:52.611	80.47060448232324
128	17:38:52.679	80.3966520675505
129	17:38:52.764	79.44780815972223
130	17:38:52.829	79.53404158775253
131	17:38:52.883	79.59930358270202
132	17:38:52.961	79.57709911616162
133	17:38:53.036	79.60997672032828
134	17:38:53.101	79.46370935921718
135	17:38:53.175	79.37628235479798
136	17:38:53.247	79.4206419665404
137	17:38:53.321	79.48265861742425
138	17:38:53.393	79.4596650094697
139	17:38:53.455	79.42262468434343
140	17:38:53.508	79.15826231060606
141	17:38:53.566	78.9116457544192
142	17:38:53.633	78.84746882891415
143	17:38:53.693	78.83639125631314
144	17:38:53.748	78.83816682449495
145	17:38:53.823	79.65376420454545
146	17:38:53.875	79.33739741161617
147	17:38:53.944	79.22563525883838
148	17:38:54.009	79.32383404356061
149	17:38:54.090	79.31040877525253
150	17:38:54.143	79.27756076388889
151	17:38:54.224	79.26950165719697
152	17:38:54.279	78.99527501578282
153	17:38:54.351	78.90574692234848
154	17:38:54.424	78.99310487689394
155	17:38:54.476	79.93897964015152
